Player,Team,#,Nation,Position,Age,Matches,Starts,Minutes,Goals,Assists,Penalty Shoot,Total Shoot,Shoot on Target,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles
Antonio Raillo,Mallorca,21,ESP,CB,32-315,16,16,1420,1,0,0,14,3,0.05,0.05,0.05625000000000001,2,0,909,14,21,20,10,1,651,756,46,418,16,3,2
Paulo Gazzaniga,Girona,13,ARG,GK,32-226,15,15,1350,0,0,0,0,0,0.0,0.0,0.0,3,0,554,1,0,0,0,0,437,532,0,325,0,2,1
Sergio Herrera,Osasuna,1,ESP,GK,31-073,15,15,1350,0,0,0,0,0,0.0,0.0,0.0,3,0,557,2,0,1,2,0,326,505,0,266,0,0,0
Álex Remiro,Real Sociedad,1,ESP,GK,29-147,15,15,1350,0,0,0,0,0,0.0,0.0,0.0,0,0,538,0,0,0,2,0,390,508,0,296,0,0,0
Enzo Boyomo,Valladolid,6,CMR,CB,22-317,15,15,1350,1,0,0,6,2,0.020000000000000004,0.020000000000000004,0.0,3,0,749,31,15,21,4,0,516,596,38,376,2,4,4
Antonio Sivera,Alavés,1,ESP,GK,28-005,15,15,1350,0,0,0,0,0,0.0,0.0,0.006666666666666667,3,0,483,1,0,0,7,0,250,444,1,224,0,0,0
David Soria,Getafe,13,ESP,GK,31-133,15,15,1350,0,0,0,0,0,0.0,0.0,0.0,0,0,399,3,0,0,3,0,199,367,0,162,0,0,0
Rui Silva,Real Betis,1,POR,GK,30-190,15,15,1350,0,0,0,0,0,0.0,0.0,0.006666666666666667,1,0,553,0,0,1,5,0,412,524,0,333,0,0,0
Raphinha,Barcelona,11,BRA,"AM,LW,RW",27-247,16,16,1347,11,6,1,50,23,0.6375,0.5875,0.475,1,0,835,19,5,10,89,15,469,666,71,443,52,46,23
Luis Milla,Getafe,5,ESP,CM,29-313,15,15,1334,1,1,1,18,3,0.09333333333333332,0.04000000000000001,0.1,1,0,842,30,9,19,66,2,515,698,85,395,21,21,11
Iñigo Martínez,Barcelona,5,ESP,CB,33-092,15,15,1330,0,1,0,7,1,0.020000000000000004,0.020000000000000004,0.08,3,0,1475,16,11,9,26,4,1237,1367,114,958,32,0,0
Carmona,Sevilla,32,ESP,RB,22-200,15,15,1322,0,0,0,11,3,0.013333333333333334,0.013333333333333334,0.05333333333333334,3,0,1000,41,34,15,24,0,686,848,53,456,14,17,6
Martín Zubimendi,Real Sociedad,4,ESP,CM,25-198,15,15,1305,1,1,0,11,4,0.10666666666666667,0.10666666666666667,0.03333333333333333,2,0,1020,39,16,18,25,3,722,852,103,500,26,17,12
Sergi,Leganés,6,ESP,CB,32-119,15,15,1302,1,0,0,5,2,0.060000000000000005,0.060000000000000005,0.0,2,0,892,19,23,15,6,2,608,731,30,462,3,2,2
Federico Valverde,Real Madrid,8,URU,"RM,LM",26-027,15,15,1300,3,2,0,18,11,0.04666666666666667,0.04666666666666667,0.09333333333333332,2,0,1078,23,26,23,36,6,836,941,92,629,27,13,8
Pau Cubarsí,Barcelona,2,ESP,CB,17-208,16,16,1291,0,1,0,7,0,0.043750000000000004,0.043750000000000004,0.05625,3,0,1314,12,10,5,21,4,1146,1225,82,812,8,4,4
Samu Costa,Mallorca,12,POR,LM,23-265,15,15,1279,0,2,0,18,6,0.060000000000000005,0.060000000000000005,0.06666666666666667,6,1,889,40,17,21,28,4,577,709,63,491,9,11,4
Antonio Rüdiger,Real Madrid,22,GER,CB,31-168,15,15,1267,0,0,0,12,2,0.07333333333333333,0.07333333333333333,0.006666666666666667,1,0,1155,11,5,15,15,1,950,1040,53,714,10,3,2
Omar Alderete,Getafe,15,PAR,CB,27-233,14,14,1260,0,0,0,18,6,0.021428571428571432,0.021428571428571432,0.049999999999999996,3,0,707,20,15,13,22,3,368,540,61,292,17,11,6
Jan Oblak,Atlético Madrid,13,SVN,GK,31-225,14,14,1260,0,0,0,0,0,0.0,0.0,0.0,0,0,385,0,0,0,3,1,295,367,0,205,0,1,1
Catena,Osasuna,24,ESP,CB,29-294,14,14,1260,0,0,0,5,1,0.028571428571428574,0.028571428571428574,0.0,4,0,664,24,15,16,7,1,378,502,31,286,6,3,2
Diego Conde,Villarreal,13,ESP,GK,25-296,14,14,1260,0,1,0,0,0,0.0,0.0,0.014285714285714287,1,0,438,2,1,0,3,1,311,397,0,256,0,0,0
Joan García,Espanyol,1,ESP,GK,23-107,14,14,1260,0,0,0,1,1,0.0071428571428571435,0.0071428571428571435,0.0,2,0,473,0,0,0,1,0,305,443,1,283,0,0,0
Karl Jakob Hein,Valladolid,13,EST,GK,22-128,14,14,1260,0,0,0,0,0,0.0,0.0,0.0,0,0,603,0,0,0,2,0,410,556,0,319,0,0,0
Diego Rico,Getafe,16,ESP,LB,31-174,15,15,1257,0,1,0,9,3,0.013333333333333334,0.013333333333333334,0.09333333333333334,4,0,844,41,13,11,41,5,476,705,61,320,20,9,4
Jules Koundé,Barcelona,23,FRA,RB,25-279,16,16,1255,1,2,0,8,2,0.018750000000000003,0.018750000000000003,0.10625,2,0,1107,33,7,16,22,3,823,954,73,540,23,28,13
Miguel Gutiérrez,Girona,3,ESP,"LB,WB",23-019,14,14,1251,1,2,0,16,7,0.07142857142857142,0.07142857142857142,0.19999999999999998,1,0,911,23,9,6,37,3,658,778,56,496,33,37,16
Robert Lewandowski,Barcelona,9,POL,FW,35-362,15,15,1248,15,2,3,48,25,0.94,0.7866666666666667,0.15333333333333335,1,0,432,6,1,9,33,1,204,276,27,236,13,20,14
Jesús Areso,Osasuna,12,ESP,RB,25-046,14,14,1242,0,1,0,3,0,0.0,0.0,0.07857142857142858,2,0,742,25,5,15,24,2,412,600,38,321,40,23,10
Carlos Vicente,Alavés,7,ESP,RB,25-115,14,14,1233,3,0,0,18,8,0.12142857142857143,0.12142857142857143,0.13571428571428573,1,0,520,13,4,9,44,1,241,375,22,260,38,46,13
Sergi Cardona,Villarreal,23,ESP,LB,25-042,14,14,1232,1,1,0,14,3,0.12142857142857143,0.12142857142857143,0.12142857142857143,5,0,746,28,18,25,32,4,449,585,31,335,26,12,5
Diego Llorente,Real Betis,3,ESP,CB,30-365,14,14,1224,0,0,0,4,1,0.03571428571428571,0.03571428571428571,0.0071428571428571435,0,0,987,17,24,16,6,1,725,837,38,581,2,4,4
Omar El Hilali,Espanyol,23,MAR,"RB,CB",20-342,14,14,1220,0,0,0,0,0,0.0,0.0,0.0,4,0,715,47,12,18,7,0,434,563,36,311,17,12,7
Luis Pérez,Valladolid,2,ESP,RB,29-197,14,14,1220,0,0,0,3,1,0.0,0.0,0.049999999999999996,2,0,692,23,16,17,25,2,428,563,47,287,15,9,3
Lucas Torró,Osasuna,6,ESP,CM,30-029,14,14,1219,2,0,0,7,3,0.049999999999999996,0.049999999999999996,0.02142857142857143,5,0,709,32,20,23,10,1,404,553,41,263,3,3,2
Aimar Oroz,Osasuna,10,ESP,LW,22-264,15,15,1208,1,0,0,19,6,0.09333333333333332,0.09333333333333332,0.07333333333333333,2,0,541,17,15,16,39,2,342,418,61,323,24,27,14
David López,Girona,5,ESP,CB,34-311,14,14,1207,0,0,0,4,0,0.0071428571428571435,0.0071428571428571435,0.0,2,0,1214,14,9,16,8,1,1007,1099,52,725,8,8,5
Alex Král,Espanyol,20,CZE,CM,26-092,14,14,1204,0,0,0,8,0,0.021428571428571432,0.021428571428571432,0.028571428571428574,0,0,502,34,15,18,16,0,261,354,44,265,18,27,16
Iñaki Williams,Athletic Club,9,GHA,RW,30-061,15,15,1203,3,4,0,22,7,0.22,0.22,0.2733333333333333,0,0,483,10,8,12,35,7,207,339,29,304,36,49,20
Kylian Mbappé,Real Madrid,9,FRA,FW,25-242,14,14,1199,8,1,4,61,28,0.7999999999999999,0.5714285714285714,0.09999999999999999,1,0,609,3,0,1,43,4,357,427,63,420,64,86,37
Dodi Lukebakio,Sevilla,11,BEL,"LW,RW",26-327,15,15,1181,6,0,1,42,17,0.30666666666666664,0.2533333333333333,0.06666666666666667,1,0,555,7,1,7,38,0,288,389,26,361,61,68,35
Johan Mojica,Mallorca,22,COL,LB,31-363,15,15,1178,1,1,0,5,1,0.026666666666666665,0.026666666666666665,0.10666666666666667,3,0,770,18,12,3,28,2,475,642,55,384,20,34,15
Pedri,Barcelona,8,ESP,"LM,AM",21-266,16,16,1172,3,2,0,12,6,0.05625,0.05625,0.1125,2,0,1020,22,11,19,50,6,763,881,97,618,31,19,11
Lucas Oliveira Rosa,Valladolid,22,BRA,LB,24-138,13,13,1170,0,0,0,4,1,0.015384615384615385,0.015384615384615385,0.02307692307692308,4,0,652,36,20,16,18,0,385,520,30,271,19,18,7
Cristhian Mosquera,Valencia,3,ESP,CB,20-051,13,13,1170,0,0,0,3,1,0.015384615384615385,0.015384615384615385,0.0,3,0,769,11,14,13,1,0,601,664,42,452,13,8,5
Giorgi Mamardashvili,Valencia,25,GEO,GK,23-323,13,13,1170,0,0,0,0,0,0.0,0.0,0.0,0,0,440,0,0,0,2,0,274,412,0,205,1,0,0
Kirian Rodríguez,Las Palmas,20,ESP,DM,28-164,14,14,1169,0,3,0,14,4,0.08571428571428572,0.08571428571428572,0.07857142857142858,2,0,932,20,7,17,33,6,703,829,91,532,17,12,7
Florian Lejeune,Rayo Vallecano,24,FRA,CB,33-090,13,13,1165,0,1,0,18,5,0.05384615384615384,0.05384615384615384,0.007692307692307693,2,0,762,20,7,14,7,0,511,633,51,404,12,3,3
Jasper Cillessen,Las Palmas,1,NED,GK,35-116,13,13,1139,0,0,0,0,0,0.0,0.0,0.0,1,0,573,1,0,0,0,0,362,524,0,350,0,0,0
Alberto Moleiro,Las Palmas,10,ESP,LW,20-321,15,15,1134,4,0,0,32,14,0.19333333333333333,0.19333333333333333,0.1,3,0,602,15,7,13,49,3,367,440,55,413,42,73,33
Abdel Abqar,Alavés,5,MAR,CB,25-159,14,14,1128,0,1,0,5,1,0.028571428571428574,0.028571428571428574,0.0071428571428571435,7,0,542,18,23,14,15,2,298,413,49,249,11,2,1
Julen Agirrezabala,Athletic Club,13,ESP,GK,23-246,13,13,1116,0,0,0,0,0,0.0,0.0,0.0,1,1,400,0,0,0,3,0,257,376,0,216,0,0,0
Igor Zubeldia,Real Sociedad,5,ESP,CB,27-151,13,13,1115,0,0,0,2,2,0.007692307692307693,0.007692307692307693,0.023076923076923075,4,0,882,15,11,19,8,1,663,768,52,532,8,0,0
Sergio Gómez,Real Sociedad,17,ESP,RW,23-349,15,15,1113,0,3,0,7,5,0.006666666666666667,0.006666666666666667,0.31333333333333335,1,0,830,38,7,21,50,4,541,707,48,387,20,23,10
Nahuel Tenaglia,Alavés,14,ARG,CB,28-177,13,13,1111,1,1,0,9,2,0.038461538461538464,0.038461538461538464,0.05384615384615385,3,0,541,28,10,8,22,1,265,404,25,214,13,13,6
Lamine Yamal,Barcelona,19,ESP,RW,17-035,14,14,1110,5,8,0,49,18,0.32142857142857145,0.32142857142857145,0.42857142857142855,1,0,722,20,8,7,72,16,390,517,67,501,68,102,40
Antoine Griezmann,Atlético Madrid,7,FRA,"AM,FW",33-151,15,15,1104,5,4,1,19,8,0.22666666666666666,0.1733333333333333,0.24666666666666667,1,0,754,12,5,12,42,7,470,656,72,419,23,15,8
Ante Budimir,Osasuna,17,CRO,FW,33-026,15,15,1103,9,1,4,35,10,0.43333333333333335,0.23333333333333334,0.04000000000000001,1,0,326,8,1,10,22,6,100,178,13,159,12,14,6
Kiko Femenía,Villarreal,17,ESP,RB,33-199,13,13,1103,0,1,0,2,0,0.0,0.0,0.038461538461538464,4,0,852,25,17,14,19,2,676,758,55,441,29,14,11
Chrisantus Uche,Getafe,6,NGA,FW,21-088,15,15,1102,1,0,0,23,5,0.13333333333333333,0.13333333333333333,0.013333333333333334,3,0,403,9,2,7,34,1,166,243,19,253,20,43,18
Carl Starfelt,Celta Vigo,2,SWE,CB,29-076,14,14,1096,1,0,0,4,1,0.021428571428571432,0.021428571428571432,0.0071428571428571435,2,0,922,15,16,18,6,1,752,801,30,578,2,0,0
Óscar Mingueza,Celta Vigo,3,ESP,WB,25-095,14,14,1095,2,5,0,12,3,0.028571428571428574,0.028571428571428574,0.3,3,0,963,17,7,13,43,9,660,856,76,582,35,28,14
Thibaut Courtois,Real Madrid,1,BEL,GK,32-099,12,12,1080,0,0,0,0,0,0.0,0.0,0.0,0,0,485,0,1,0,1,0,396,463,0,302,0,1,0
Nemanja Gudelj,Sevilla,6,SRB,"CB,DM",32-274,13,13,1080,0,0,0,8,2,0.015384615384615385,0.015384615384615385,0.015384615384615385,3,0,715,22,13,11,14,0,498,596,31,294,5,4,3
Álex Suárez,Las Palmas,4,ESP,CB,31-151,13,13,1073,0,0,0,1,1,0.007692307692307693,0.007692307692307693,0.0,4,0,694,17,4,18,5,1,491,579,19,340,1,0,0
Vinicius Júnior,Real Madrid,7,BRA,LW,24-037,13,13,1069,8,5,2,36,9,0.43846153846153846,0.33076923076923076,0.36153846153846153,4,0,595,11,0,5,64,11,316,425,43,450,82,94,38
Iago Aspas,Celta Vigo,10,ESP,AM,37-015,14,14,1068,5,3,3,28,11,0.38571428571428573,0.21428571428571427,0.15,4,1,591,11,4,13,36,7,361,487,73,432,34,19,10
Iglesias,Getafe,21,ESP,RB,26-043,15,15,1067,0,0,0,8,1,0.006666666666666667,0.006666666666666667,0.06666666666666667,1,0,652,37,22,15,30,1,270,490,30,210,13,16,6
Koke,Atlético Madrid,6,ESP,CM,32-224,15,15,1062,1,0,0,7,3,0.05999999999999999,0.05999999999999999,0.06666666666666667,3,0,934,25,11,12,22,3,716,830,58,522,10,13,5
Martin Valjent,Mallorca,24,SVK,CB,28-251,12,12,1060,0,0,0,3,1,0.016666666666666666,0.016666666666666666,0.0,2,0,607,13,6,11,8,0,438,511,33,321,7,3,2
Abde Ezzalzouli,Real Betis,10,MAR,LW,22-242,15,15,1052,1,0,1,35,12,0.36000000000000004,0.30666666666666664,0.04000000000000001,1,0,609,19,4,15,34,2,297,420,46,389,65,65,32
Bryan Zaragoza,Osasuna,19,ESP,LM,23-114,15,15,1051,1,5,0,18,7,0.12000000000000001,0.12000000000000001,0.14666666666666667,3,0,396,11,1,7,40,7,158,265,26,263,59,72,33
Daniel Vivian,Athletic Club,3,ESP,CB,25-031,13,13,1045,2,0,0,8,3,0.061538461538461535,0.061538461538461535,0.0,1,0,808,16,14,12,12,1,592,685,71,446,12,7,5
Hugo Álvarez,Celta Vigo,30,ESP,WB,21-045,15,15,1044,2,1,0,16,6,0.10666666666666667,0.10666666666666667,0.04000000000000001,4,0,813,19,8,13,30,6,534,671,34,500,49,52,21
Sergi Darder,Mallorca,10,ESP,RM,30-240,16,16,1044,0,1,0,11,4,0.03125,0.03125,0.0875,0,0,581,22,5,7,44,2,363,490,51,323,20,24,10
Nico Williams,Athletic Club,10,ESP,LW,22-034,14,14,1043,1,3,0,27,8,0.14285714285714285,0.14285714285714285,0.16428571428571428,1,0,545,21,4,8,62,8,256,367,37,348,75,89,34
Carles Pérez,Getafe,17,ESP,RM,26-181,15,15,1040,0,0,0,24,4,0.08000000000000002,0.08000000000000002,0.06666666666666667,1,0,384,22,6,12,31,0,163,243,15,202,21,39,16
Djené,Getafe,2,TOG,CB,32-228,13,13,1037,0,0,0,3,0,0.007692307692307693,0.007692307692307693,0.03076923076923077,5,0,492,6,11,8,7,0,299,395,35,225,8,8,2
Manu Sánchez,Alavés,3,ESP,LB,24-001,13,13,1031,0,0,0,3,0,0.007692307692307693,0.007692307692307693,0.007692307692307693,5,0,543,21,12,20,16,1,299,429,37,210,22,13,3
Raúl Moro,Valladolid,11,ESP,LW,21-258,14,14,1029,3,0,0,18,6,0.12142857142857144,0.12142857142857144,0.15,1,0,436,11,8,6,44,1,210,320,39,255,49,60,27
Alejandro Balde,Barcelona,3,ESP,LB,20-304,14,14,1021,0,2,0,6,1,0.021428571428571432,0.021428571428571432,0.09999999999999999,0,0,686,8,5,7,35,6,503,585,32,423,44,49,20
Takefusa Kubo,Real Sociedad,14,JPN,RW,23-075,15,15,1018,3,0,0,19,7,0.12000000000000001,0.12000000000000001,0.12000000000000001,1,0,551,19,6,23,47,3,279,391,53,365,66,60,29
José María Giménez,Atlético Madrid,2,URU,CB,29-212,13,13,1018,0,0,0,4,1,0.02307692307692308,0.02307692307692308,0.0,1,0,775,10,14,15,3,0,605,665,28,457,0,0,0
Romain Perraud,Real Betis,15,FRA,LB,26-328,14,14,1017,0,0,0,10,2,0.014285714285714287,0.014285714285714287,0.028571428571428574,4,0,760,19,14,9,17,1,501,631,34,392,28,15,7
Daniel Parejo,Villarreal,10,ESP,CM,35-125,14,14,1014,2,0,2,3,1,0.13571428571428573,0.014285714285714287,0.021428571428571432,5,0,749,18,7,8,27,6,598,677,74,406,3,6,6
Marash Kumbulla,Espanyol,4,ALB,CB,24-198,13,13,1012,1,0,0,3,1,0.05384615384615384,0.05384615384615384,0.0,4,0,628,16,12,24,9,1,404,478,29,349,6,5,1
Alex Baena,Villarreal,16,ESP,LM,23-030,13,13,1011,3,5,1,23,6,0.25384615384615383,0.19230769230769232,0.3230769230769231,4,0,606,7,12,12,73,7,334,498,71,365,26,21,7
Santi Comesaña,Villarreal,14,ESP,"CM,LM",27-319,14,14,1011,2,2,0,9,2,0.05714285714285715,0.05714285714285715,0.0642857142857143,3,0,669,31,9,19,35,3,477,544,65,375,18,14,5
Adrià Pedrosa,Sevilla,3,ESP,LB,26-095,13,13,1007,0,1,0,7,1,0.015384615384615385,0.015384615384615385,0.04615384615384615,4,0,702,30,9,20,18,2,412,557,30,283,13,16,7
Javi Puado,Espanyol,7,ESP,FW,26-086,12,12,1004,5,1,1,23,6,0.2416666666666667,0.17500000000000002,0.075,3,0,323,10,3,6,19,3,172,216,26,195,22,17,4
Daley Blind,Girona,17,NED,CB,34-159,13,13,996,0,1,0,2,1,0.007692307692307693,0.007692307692307693,0.04615384615384616,2,0,1084,17,13,15,15,3,889,994,102,697,20,10,7
Abdul Mumin,Rayo Vallecano,16,GHA,CB,26-073,12,12,993,1,1,0,3,1,0.016666666666666666,0.016666666666666666,0.016666666666666666,4,1,633,12,14,19,4,2,404,507,18,320,5,2,1
Vicente Guaita,Celta Vigo,13,ESP,GK,37-249,11,11,990,0,0,0,0,0,0.0,0.0,0.0,0,0,319,0,0,0,1,0,247,300,0,190,0,0,0
César Tárrega,Valencia,15,ESP,CB,22-184,11,11,990,2,0,0,7,2,0.10909090909090909,0.10909090909090909,0.0,3,0,626,14,6,9,2,0,401,522,30,327,9,2,2
Dominik Greif,Mallorca,1,SVK,GK,27-134,11,11,990,0,0,0,0,0,0.0,0.0,0.0,0,0,376,0,0,0,2,0,255,357,0,204,0,0,0
Andrei Ratiu,Rayo Vallecano,2,ROU,RB,26-059,11,11,979,1,1,0,15,3,0.09090909090909091,0.09090909090909091,0.16363636363636364,1,0,652,26,10,9,24,1,423,529,48,334,34,36,25
Isaac Romero,Sevilla,7,ESP,FW,24-090,13,13,978,0,2,0,26,7,0.16153846153846155,0.16153846153846155,0.0923076923076923,4,0,344,5,1,10,20,4,142,202,9,181,12,32,11
Luis Rioja,Alavés,11,ESP,LW,30-305,13,13,972,2,0,1,7,3,0.09230769230769233,0.03076923076923077,0.04615384615384616,3,0,438,14,11,13,20,3,213,338,25,225,24,29,11
Valentin Rosier,Leganés,12,FRA,RB,27-364,13,13,964,0,1,0,5,1,0.015384615384615385,0.015384615384615385,0.015384615384615385,4,0,599,36,16,14,11,2,330,440,16,243,13,13,8
Mauro Arambarri,Getafe,8,URU,CM,28-320,15,15,963,4,0,2,14,3,0.17333333333333334,0.06666666666666667,0.006666666666666667,4,0,406,13,3,9,13,1,198,291,26,183,6,13,6
Ørjan Nyland,Sevilla,13,NOR,GK,33-341,11,11,963,0,0,0,0,0,0.0,0.0,0.018181818181818184,1,0,413,1,0,0,5,1,238,388,1,240,0,0,0
Manu Morlanes,Mallorca,8,ESP,RM,25-219,15,15,959,0,0,0,7,0,0.006666666666666667,0.006666666666666667,0.013333333333333334,4,0,599,30,22,17,24,0,433,490,57,316,14,5,1
Pablo Fornals,Real Betis,18,ESP,RW,28-175,13,13,952,1,0,0,15,3,0.0923076923076923,0.0923076923076923,0.15384615384615385,2,0,608,11,13,17,53,4,388,507,78,336,16,17,5
Iñaki Peña,Barcelona,13,ESP,GK,25-204,11,11,946,0,0,0,0,0,0.0,0.0,0.0,1,0,493,0,0,0,1,1,414,466,0,287,0,0,0
Jofre,Espanyol,17,ESP,RM,23-063,14,14,941,2,3,0,19,5,0.1142857142857143,0.1142857142857143,0.1,4,0,335,7,8,3,26,5,149,208,21,212,25,47,14
Ander Guevara,Alavés,6,ESP,DM,27-040,14,14,940,0,1,0,6,0,0.028571428571428574,0.028571428571428574,0.028571428571428574,1,0,544,21,7,16,16,3,334,436,54,254,10,9,5
Éder Militão,Real Madrid,3,BRA,CB,26-213,12,12,938,1,1,0,10,3,0.041666666666666664,0.041666666666666664,0.03333333333333333,2,0,819,19,12,13,12,1,636,712,46,533,7,8,5
Diego López,Valencia,16,ESP,LM,22-096,13,13,936,2,1,0,12,4,0.06923076923076923,0.06923076923076923,0.10769230769230768,1,0,392,9,3,7,17,1,207,299,26,210,28,28,8
Marc Casado,Barcelona,17,ESP,"DM,RM",20-338,13,13,934,0,3,0,10,0,0.06153846153846154,0.06153846153846154,0.1,4,1,859,26,12,12,29,6,671,752,68,475,5,7,2
Alex Sola,Getafe,7,ESP,LM,25-067,15,15,934,0,1,0,14,2,0.060000000000000005,0.060000000000000005,0.04000000000000001,4,0,387,17,4,8,26,2,133,209,20,237,20,55,19
Carlos Romero,Espanyol,22,ESP,LB,22-295,14,14,930,1,1,0,10,2,0.06428571428571428,0.06428571428571428,0.049999999999999996,4,0,485,29,7,11,25,2,263,375,29,209,17,15,6
Vedat Muriqi,Mallorca,7,KVX,FW,30-116,12,12,929,3,1,0,27,10,0.3416666666666666,0.3416666666666666,0.05000000000000001,1,1,324,1,4,1,23,3,131,224,19,144,8,11,3
Jon Aramburu,Real Sociedad,27,VEN,RB,22-026,13,13,927,0,0,0,5,2,0.007692307692307693,0.007692307692307693,0.04615384615384616,4,0,730,43,12,14,17,1,461,594,40,320,11,13,6
Jon Moncayola,Osasuna,7,ESP,RM,26-096,14,14,925,0,0,0,10,2,0.0642857142857143,0.0642857142857143,0.12142857142857143,4,0,455,31,7,17,29,2,258,366,35,200,8,4,3
Antonio Blanco,Alavés,8,ESP,DM,24-024,14,14,925,0,1,0,11,1,0.03571428571428571,0.03571428571428571,0.03571428571428571,2,0,477,25,17,14,15,1,294,380,48,244,2,8,6
Juan Cruz,Leganés,11,ESP,RW,24-114,15,15,922,4,1,0,19,8,0.07333333333333333,0.07333333333333333,0.09333333333333334,1,0,431,7,6,6,23,2,218,337,34,252,29,33,19
Loïc Bade,Sevilla,22,FRA,CB,24-134,11,11,921,0,1,0,5,2,0.018181818181818184,0.018181818181818184,0.05454545454545454,3,0,772,20,9,10,7,1,554,656,12,442,2,11,8
Álex Muñoz,Las Palmas,23,ESP,LB,30-017,12,12,920,3,0,0,7,5,0.06666666666666667,0.06666666666666667,0.03333333333333333,1,0,705,28,14,20,9,0,464,565,33,299,9,6,1
Nayef Aguerd,Real Sociedad,21,MAR,CB,28-168,11,11,919,0,0,0,10,4,0.18181818181818182,0.18181818181818182,0.009090909090909092,3,0,830,15,7,10,8,0,657,736,33,537,13,2,1
Raúl Albiol,Villarreal,3,ESP,CB,38-350,12,12,918,0,0,0,1,0,0.008333333333333333,0.008333333333333333,0.0,5,0,651,6,6,9,1,1,501,570,19,354,0,0,0
Pablo Maffeo,Mallorca,23,ESP,RB,27-037,12,12,916,0,1,0,4,1,0.016666666666666666,0.016666666666666666,0.15,2,0,552,19,11,14,29,2,307,437,27,252,17,30,17
Logan Costa,Villarreal,2,CPV,CB,23-147,11,11,916,1,0,0,6,3,0.03636363636363637,0.03636363636363637,0.0,1,0,617,13,5,6,9,1,472,537,48,361,11,1,0
Javier Muñoz,Las Palmas,5,ESP,"AM,DM",29-170,15,15,915,0,2,0,8,3,0.020000000000000004,0.020000000000000004,0.08666666666666667,1,0,555,22,12,13,18,4,370,471,41,308,10,14,8
Jude Bellingham,Real Madrid,5,ENG,LM,21-050,11,11,915,4,3,1,15,6,0.2818181818181818,0.20909090909090908,0.10909090909090909,2,0,698,26,13,16,28,3,511,580,70,440,28,25,15
Aurélien Tchouaméni,Real Madrid,14,FRA,CM,24-204,11,11,914,0,0,0,5,0,0.05454545454545454,0.05454545454545454,0.02727272727272727,1,0,790,22,23,9,16,0,642,691,85,481,9,6,4
Yuri Berchiche,Athletic Club,17,ESP,LB,34-187,13,13,912,0,0,0,8,3,0.02307692307692308,0.02307692307692308,0.04615384615384615,2,0,695,14,9,11,12,0,498,600,69,319,20,8,4
Scott McKenna,Las Palmas,15,SCO,"LB,CB",27-278,11,11,908,0,0,0,5,0,0.06363636363636363,0.06363636363636363,0.018181818181818184,1,0,614,8,3,17,4,0,433,511,10,324,3,1,1
Seydouba Cissé,Leganés,8,GUI,AM,23-189,13,13,908,0,0,0,7,0,0.015384615384615385,0.015384615384615385,0.007692307692307693,2,0,565,21,6,11,18,2,395,463,47,311,12,22,13
Óscar Valentín,Rayo Vallecano,23,ESP,CM,29-364,13,13,905,0,0,0,2,1,0.023076923076923075,0.023076923076923075,0.015384615384615385,1,0,493,25,12,15,22,1,297,371,45,221,6,5,3
Marcos Alonso,Celta Vigo,20,ESP,CB,33-262,11,11,901,0,0,0,9,2,0.03636363636363637,0.03636363636363637,0.018181818181818184,3,0,857,13,12,6,9,0,673,762,67,587,22,8,3
Miguel,Leganés,9,ESP,FW,24-349,14,14,896,1,1,1,15,5,0.14285714285714285,0.08571428571428573,0.04285714285714286,3,0,241,7,3,10,13,3,66,125,6,142,12,19,7
Javi Hernández,Leganés,20,ESP,LB,26-107,12,12,895,0,1,0,5,1,0.016666666666666666,0.016666666666666666,0.075,1,0,491,15,13,8,10,1,271,376,25,224,17,11,8
Jorge de Frutos,Rayo Vallecano,19,ESP,RM,27-180,13,13,892,1,1,0,16,5,0.06923076923076923,0.06923076923076923,0.10769230769230768,1,0,376,18,5,6,25,2,192,267,17,228,23,31,14
Arnau Martinez,Girona,4,ESP,"RB,CM",21-112,12,12,888,1,1,0,5,2,0.03333333333333333,0.03333333333333333,0.075,2,0,822,18,3,4,19,1,648,743,68,447,11,10,6
Thierno Barry,Villarreal,15,FRA,FW,21-307,13,13,874,4,2,0,33,10,0.4076923076923077,0.4076923076923077,0.0923076923076923,1,0,255,4,0,6,21,2,72,131,10,140,16,16,3
Javi Rodríguez,Celta Vigo,32,ESP,WB,21-051,14,14,873,1,1,0,5,1,0.028571428571428574,0.028571428571428574,0.049999999999999996,3,0,735,15,10,8,11,1,567,657,42,481,11,4,1
